judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content
Assamualaikum Beijing,Asma Nadia,FIK,Penyiangan 2025-2,umum,umum,umum umum,assamualaikum beijing asma nadia umum umum
Hisablah Dirimu sebelum Dihisab Kelak,Mukhamad Yusuf,297.353,Penyiangan 2025-2,agama,umum,agama umum,hisablah dirimu sebelum dihisab kelak mukhamad yusuf agama umum
Koleksi Kisah Islami Pengantar Tidur,Ulfah Nurhidayah,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,koleksi kisah islami pengantar tidur ulfah nurhidayah sosial politik umum
Riwayat Hidup Nabi Muhammad : Meneladani Ahlak Mulia Rasulullah SAW,Meilina Widyawati,297.911,Penyiangan 2025-2,agama,umum,agama umum,riwayat hidup nabi muhammad  meneladani ahlak mulia rasulullah saw meilina widyawati agama umum
Rama Parasu : Jalan Panjang Menggapai Nirwana,Aries Mukadi,741.5,Penyiangan 2025-2,umum,umum,umum umum,rama parasu  jalan panjang menggapai nirwana aries mukadi umum umum
Oegroseno Menjadi Polisi untuk Mengabdi,Ahmad Bahar,923.5,Penyiangan 2025-2,sejarah,umum,sejarah umum,oegroseno menjadi polisi untuk mengabdi ahmad bahar sejarah umum
Kamus Sejarah Lengkap,Danto Pamungkas,909.03,Penyiangan 2025-2,sejarah,umum,sejarah umum,kamus sejarah lengkap danto pamungkas sejarah umum
Pesona Cinta Masjid Nabawi,Inayatullah Hasyim,FIK,Penyiangan 2025-2,umum,umum,umum umum,pesona cinta masjid nabawi inayatullah hasyim umum umum
180 Sumber Penghasil Uang,Dimas,650.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, sumber penghasil uang dimas teknologi umum
Diabetes kandas Berkat Herbal,Ersi Herliana,582.12,Penyiangan 2025-2,sains,umum,sains umum,diabetes kandas berkat herbal ersi herliana sains umum
Beternak & Bisnis Ayam Kampung,Bambang Krista,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak  bisnis ayam kampung bambang krista teknologi umum
Aku Sayang Kakak Adik,Tiara Indah Swara,FIK,Penyiangan 2025-2,umum,umum,umum umum,aku sayang kakak adik tiara indah swara umum umum
Aku Sayang Ayah,Tiara Indah Swara,FIK,Penyiangan 2025-2,umum,umum,umum umum,aku sayang ayah tiara indah swara umum umum
Aku Sayang Kakek Nenek,Tiara Indah Swara,FIK,Penyiangan 2025-2,umum,umum,umum umum,aku sayang kakek nenek tiara indah swara umum umum
Cara Cepat Belajar Kamera DSLR dari Nol sampai Bisa,Budi Prasetyo,771.3,Penyiangan 2025-2,umum,umum,umum umum,cara cepat belajar kamera dslr dari nol sampai bisa budi prasetyo umum umum
Beternak Ayam Broiler,Roni Fadilah,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak ayam broiler roni fadilah teknologi umum
Budi Daya Belut,Iwan Hermawan,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut iwan hermawan teknologi umum
Budi Daya Belut,Ruslan Roy,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut ruslan roy teknologi umum
Jejak Kupu-Kupu,Agnes Jessica,FIK,Penyiangan 2025-2,umum,umum,umum umum,jejak kupukupu agnes jessica umum umum
"Kisah Dongeng Persahabatan : Seru, Menarik & Penuh Pesan Moral",Irhayati Harun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kisah dongeng persahabatan  seru menarik  penuh pesan moral irhayati harun sosial politik umum
Budi Daya Belut,Iwan Hermawan,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut iwan hermawan teknologi umum
Budi Daya Belut,Ruslan Roy,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut ruslan roy teknologi umum
Jejak Kupu-Kupu,Agnes Jessica,FIK,Penyiangan 2025-2,umum,umum,umum umum,jejak kupukupu agnes jessica umum umum
"Kisah Dongeng Persahabatan : Seru, Menarik & Penuh Pesan Moral",Irhayati Harun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kisah dongeng persahabatan  seru menarik  penuh pesan moral irhayati harun sosial politik umum
Budi Daya Belut,Iwan Hermawan,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut iwan hermawan teknologi umum
Budi Daya Belut,Ruslan Roy,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut ruslan roy teknologi umum
Jejak Kupu-Kupu,Agnes Jessica,FIK,Penyiangan 2025-2,umum,umum,umum umum,jejak kupukupu agnes jessica umum umum
"Kisah Dongeng Persahabatan : Seru, Menarik & Penuh Pesan Moral",Irhayati Harun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kisah dongeng persahabatan  seru menarik  penuh pesan moral irhayati harun sosial politik umum
Budi Daya Belut,Iwan Hermawan,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut iwan hermawan teknologi umum
Budi Daya Belut,Ruslan Roy,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya belut ruslan roy teknologi umum
Jejak Kupu-Kupu,Agnes Jessica,FIK,Penyiangan 2025-2,umum,umum,umum umum,jejak kupukupu agnes jessica umum umum
"Kisah Dongeng Persahabatan : Seru, Menarik & Penuh Pesan Moral",Irhayati Harun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kisah dongeng persahabatan  seru menarik  penuh pesan moral irhayati harun sosial politik umum
Legenda Lutung Kasarung yang Sakti dan Kisah-Kisah Terbaik Nusantara Lainnya,Kak Gun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,legenda lutung kasarung yang sakti dan kisahkisah terbaik nusantara lainnya kak gun sosial politik umum
99 Nasihat Rasulullah untuk Muslim Cilik,Ilham Maulana,297.911,Penyiangan 2025-2,agama,umum,agama umum, nasihat rasulullah untuk muslim cilik ilham maulana agama umum
119 Variasi Pintu,Tim Nusa Karya,694.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, variasi pintu tim nusa karya teknologi umum
Cara Mudah Memodifikasi Foto Digital Menggunakan Photoshop Cs6 & Photo Effect Sudio,A. Taufiq Hidayatullah,006.66,Penyiangan 2025-2,umum,umum,umum umum,cara mudah memodifikasi foto digital menggunakan photoshop cs  photo effect sudio a taufiq hidayatullah umum umum
Cara Cerdas Mendidik & Mengoptimalkan Kecerdasan Anak,Sri Mulyanti,155.4,Penyiangan 2025-2,umum,umum,umum umum,cara cerdas mendidik  mengoptimalkan kecerdasan anak sri mulyanti umum umum
Pembesaran Nila di Kolam Air Deras,Khairuman,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,pembesaran nila di kolam air deras khairuman teknologi umum
"Ibu, Malaikatku : Mukjizat Cinta & Kasih Sayang Ibu",Mulasih Tary,297.51,Penyiangan 2025-2,agama,umum,agama umum,ibu malaikatku  mukjizat cinta  kasih sayang ibu mulasih tary agama umum
Lollipop dan Permen Karet,Binar Socaherang,FIK,Penyiangan 2025-2,umum,umum,umum umum,lollipop dan permen karet binar socaherang umum umum
Petualangan Tiga Kurcaci,Gregoria Mayang Dwiandhesti,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,petualangan tiga kurcaci gregoria mayang dwiandhesti sosial politik umum
101 Kebiasaaan si Anak Shalih,Nini Fatih Yustisia,297.437,Penyiangan 2025-2,agama,anak,agama anak, kebiasaaan si anak shalih nini fatih yustisia agama anak
Mengetahui Problem Kesehatan Anak,Kurniawan Taufiq Kadafi,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,mengetahui problem kesehatan anak kurniawan taufiq kadafi teknologi anak
Penyakit-Penyakit yang Disebabkan Makanan & Minuman pada Anak,Adi D. Tilong,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,penyakitpenyakit yang disebabkan makanan  minuman pada anak adi d tilong teknologi anak
Anak Kampung paling fenomenal : Berguru pada 10 Tokoh Inspiratif & Inovatif,M. Mufti Mubarok,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum,anak kampung paling fenomenal  berguru pada  tokoh inspiratif  inovatif m mufti mubarok sejarah umum
Jangan Bercerai Bunda : Sebuah Catatan Hati,Asma Nadia dkk.,153.2,Penyiangan 2025-2,umum,umum,umum umum,jangan bercerai bunda  sebuah catatan hati asma nadia dkk umum umum
"Berkebun Kelapa Sawit ""Si Emas Cair"" : Panduan Praktis dari Nol",Agus Andoko,633.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,berkebun kelapa sawit si emas cair  panduan praktis dari nol agus andoko teknologi umum
The Great Story Muhammad SAW,Ahmad Hatta,297.91,Penyiangan 2025-2,agama,umum,agama umum,the great story muhammad saw ahmad hatta agama umum
Bertualang sambil Belajar,Dewi Fatma,FIK,Penyiangan 2025-2,umum,umum,umum umum,bertualang sambil belajar dewi fatma umum umum
Jalan Pantura Jawa Harapan Di Sejuta Masalah,Hari Suko Setiono,388,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,jalan pantura jawa harapan di sejuta masalah hari suko setiono sosial politik umum
Jalan Pantura Jawa Harapan Di Sejuta Masalah,Hari Suko Setiono,388,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,jalan pantura jawa harapan di sejuta masalah hari suko setiono sosial politik umum
Keajaiban 9 Bulan 10 Hari : Perkembangan Janin Sehat dari Minggu ke Minggu,Bunda Eka Zuliati,618.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,keajaiban  bulan  hari  perkembangan janin sehat dari minggu ke minggu bunda eka zuliati teknologi umum
Beternak Itik,Abdul Wakhid,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak itik abdul wakhid teknologi umum
Catatan Hati Seorang Istri,Asma Nadia,FIK,Penyiangan 2025-2,umum,umum,umum umum,catatan hati seorang istri asma nadia umum umum
Catatan Hati Seorang Istri,Asma Nadia,FIK,Penyiangan 2025-2,umum,umum,umum umum,catatan hati seorang istri asma nadia umum umum
Legenda Lutung Kasarung yang Sakti dan Kisah-Kisah Terbaik Nusantara Lainnya,Kak Gun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,legenda lutung kasarung yang sakti dan kisahkisah terbaik nusantara lainnya kak gun sosial politik umum
99 Nasihat Rasulullah untuk Muslim Cilik,Ilham Maulana,297.911,Penyiangan 2025-2,agama,umum,agama umum, nasihat rasulullah untuk muslim cilik ilham maulana agama umum
119 Variasi Pintu,Tim Nusa Karya,694.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, variasi pintu tim nusa karya teknologi umum
Cara Mudah Memodifikasi Foto Digital Menggunakan Photoshop Cs6 & Photo Effect Sudio,A. Taufiq Hidayatullah,006.66,Penyiangan 2025-2,umum,umum,umum umum,cara mudah memodifikasi foto digital menggunakan photoshop cs  photo effect sudio a taufiq hidayatullah umum umum
Cara Cerdas Mendidik & Mengoptimalkan Kecerdasan Anak,Sri Mulyanti,155.4,Penyiangan 2025-2,umum,umum,umum umum,cara cerdas mendidik  mengoptimalkan kecerdasan anak sri mulyanti umum umum
Pembesaran Nila di Kolam Air Deras,Khairuman,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,pembesaran nila di kolam air deras khairuman teknologi umum
"Ibu, Malaikatku : Mukjizat Cinta & Kasih Sayang Ibu",Mulasih Tary,297.51,Penyiangan 2025-2,agama,umum,agama umum,ibu malaikatku  mukjizat cinta  kasih sayang ibu mulasih tary agama umum
Lollipop dan Permen Karet,Binar Socaherang,FIK,Penyiangan 2025-2,umum,umum,umum umum,lollipop dan permen karet binar socaherang umum umum
Moga Bunda Disayang Allah,Tere Liye,FIK,Penyiangan 2025-2,umum,umum,umum umum,moga bunda disayang allah tere liye umum umum
Petualangan Tiga Kurcaci,Gregoria Mayang Dwiandhesti,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,petualangan tiga kurcaci gregoria mayang dwiandhesti sosial politik umum
101 Kebiasaaan si Anak Shalih,Nini Fatih Yustisia,297.437,Penyiangan 2025-2,agama,anak,agama anak, kebiasaaan si anak shalih nini fatih yustisia agama anak
Mengetahui Problem Kesehatan Anak,Kurniawan Taufiq Kadafi,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,mengetahui problem kesehatan anak kurniawan taufiq kadafi teknologi anak
Penyakit-Penyakit yang Disebabkan Makanan & Minuman pada Anak,Adi D. Tilong,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,penyakitpenyakit yang disebabkan makanan  minuman pada anak adi d tilong teknologi anak
Jangan Bercerai Bunda : Sebuah Catatan Hati,Asma Nadia dkk.,153.2,Penyiangan 2025-2,umum,umum,umum umum,jangan bercerai bunda  sebuah catatan hati asma nadia dkk umum umum
"Berkebun Kelapa Sawit ""Si Emas Cair"" : Panduan Praktis dari Nol",Agus Andoko,633.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,berkebun kelapa sawit si emas cair  panduan praktis dari nol agus andoko teknologi umum
Kumpulan Petualangan Abu Nawas Seri2,Bayu Aditya,FIK,Penyiangan 2025-2,umum,umum,umum umum,kumpulan petualangan abu nawas seri bayu aditya umum umum
Bertualang sambil Belajar,Dewi Fatma,FIK,Penyiangan 2025-2,umum,umum,umum umum,bertualang sambil belajar dewi fatma umum umum
Jalan Pantura Jawa Harapan Di Sejuta Masalah,Hari Suko Setiono,388,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,jalan pantura jawa harapan di sejuta masalah hari suko setiono sosial politik umum
"Ensiklopedia Keajaiban Dunia yang Super ""WOW""",mahadewa Adi Seta,30,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,ensiklopedia keajaiban dunia yang super wow mahadewa adi seta sosial politik umum
Keajaiban 9 Bulan 10 Hari : Perkembangan Janin Sehat dari Minggu ke Minggu,Bunda Eka Zuliati,618.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,keajaiban  bulan  hari  perkembangan janin sehat dari minggu ke minggu bunda eka zuliati teknologi umum
Beternak Itik,Abdul Wakhid,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak itik abdul wakhid teknologi umum
Budi Daya Kelapa Sawit di Berbagai Jenis Lahan,Sunarko,637.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya kelapa sawit di berbagai jenis lahan sunarko teknologi umum
Budi Daya Kelapa Sawit di Berbagai Jenis Lahan,Sunarko,637.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya kelapa sawit di berbagai jenis lahan sunarko teknologi umum
Legenda Lutung Kasarung yang Sakti dan Kisah-Kisah Terbaik Nusantara Lainnya,Kak Gun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,legenda lutung kasarung yang sakti dan kisahkisah terbaik nusantara lainnya kak gun sosial politik umum
99 Nasihat Rasulullah untuk Muslim Cilik,Ilham Maulana,297.911,Penyiangan 2025-2,agama,umum,agama umum, nasihat rasulullah untuk muslim cilik ilham maulana agama umum
119 Variasi Pintu,Tim Nusa Karya,694.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, variasi pintu tim nusa karya teknologi umum
Cara Mudah Memodifikasi Foto Digital Menggunakan Photoshop Cs6 & Photo Effect Sudio,A. Taufiq Hidayatullah,006.66,Penyiangan 2025-2,umum,umum,umum umum,cara mudah memodifikasi foto digital menggunakan photoshop cs  photo effect sudio a taufiq hidayatullah umum umum
Cara Cerdas Mendidik & Mengoptimalkan Kecerdasan Anak,Sri Mulyanti,155.4,Penyiangan 2025-2,umum,umum,umum umum,cara cerdas mendidik  mengoptimalkan kecerdasan anak sri mulyanti umum umum
Pembesaran Nila di Kolam Air Deras,Khairuman,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,pembesaran nila di kolam air deras khairuman teknologi umum
"Ibu, Malaikatku : Mukjizat Cinta & Kasih Sayang Ibu",Mulasih Tary,297.51,Penyiangan 2025-2,agama,umum,agama umum,ibu malaikatku  mukjizat cinta  kasih sayang ibu mulasih tary agama umum
Lollipop dan Permen Karet,Binar Socaherang,FIK,Penyiangan 2025-2,umum,umum,umum umum,lollipop dan permen karet binar socaherang umum umum
Moga Bunda Disayang Allah,Tere Liye,FIK,Penyiangan 2025-2,umum,umum,umum umum,moga bunda disayang allah tere liye umum umum
Petualangan Tiga Kurcaci,Gregoria Mayang Dwiandhesti,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,petualangan tiga kurcaci gregoria mayang dwiandhesti sosial politik umum
101 Kebiasaaan si Anak Shalih,Nini Fatih Yustisia,297.437,Penyiangan 2025-2,agama,anak,agama anak, kebiasaaan si anak shalih nini fatih yustisia agama anak
Mengetahui Problem Kesehatan Anak,Kurniawan Taufiq Kadafi,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,mengetahui problem kesehatan anak kurniawan taufiq kadafi teknologi anak
Penyakit-Penyakit yang Disebabkan Makanan & Minuman pada Anak,Adi D. Tilong,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,penyakitpenyakit yang disebabkan makanan  minuman pada anak adi d tilong teknologi anak
Jangan Bercerai Bunda : Sebuah Catatan Hati,Asma Nadia dkk.,153.2,Penyiangan 2025-2,umum,umum,umum umum,jangan bercerai bunda  sebuah catatan hati asma nadia dkk umum umum
"Berkebun Kelapa Sawit ""Si Emas Cair"" : Panduan Praktis dari Nol",Agus Andoko,633.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,berkebun kelapa sawit si emas cair  panduan praktis dari nol agus andoko teknologi umum
Kumpulan Petualangan Abu Nawas Seri2,Bayu Aditya,FIK,Penyiangan 2025-2,umum,umum,umum umum,kumpulan petualangan abu nawas seri bayu aditya umum umum
Kumpulan Petualangan Abu Nawas Seri2,Bayu Aditya,FIK,Penyiangan 2025-2,umum,umum,umum umum,kumpulan petualangan abu nawas seri bayu aditya umum umum
Bertualang sambil Belajar,Dewi Fatma,FIK,Penyiangan 2025-2,umum,umum,umum umum,bertualang sambil belajar dewi fatma umum umum
"Ensiklopedia Keajaiban Dunia yang Super ""WOW""",mahadewa Adi Seta,30,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,ensiklopedia keajaiban dunia yang super wow mahadewa adi seta sosial politik umum
"Ensiklopedia Keajaiban Dunia yang Super ""WOW""",mahadewa Adi Seta,30,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,ensiklopedia keajaiban dunia yang super wow mahadewa adi seta sosial politik umum
Keajaiban 9 Bulan 10 Hari : Perkembangan Janin Sehat dari Minggu ke Minggu,Bunda Eka Zuliati,618.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,keajaiban  bulan  hari  perkembangan janin sehat dari minggu ke minggu bunda eka zuliati teknologi umum
Beternak Itik,Abdul Wakhid,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak itik abdul wakhid teknologi umum
Budi Daya Kelapa Sawit di Berbagai Jenis Lahan,Sunarko,637.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya kelapa sawit di berbagai jenis lahan sunarko teknologi umum
Catatan Hati Seorang Istri,Asma Nadia,FIK,Penyiangan 2025-2,umum,umum,umum umum,catatan hati seorang istri asma nadia umum umum
Legenda Lutung Kasarung yang Sakti dan Kisah-Kisah Terbaik Nusantara Lainnya,Kak Gun,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,legenda lutung kasarung yang sakti dan kisahkisah terbaik nusantara lainnya kak gun sosial politik umum
99 Nasihat Rasulullah untuk Muslim Cilik,Ilham Maulana,297.911,Penyiangan 2025-2,agama,umum,agama umum, nasihat rasulullah untuk muslim cilik ilham maulana agama umum
119 Variasi Pintu,Tim Nusa Karya,694.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, variasi pintu tim nusa karya teknologi umum
Cara Mudah Memodifikasi Foto Digital Menggunakan Photoshop Cs6 & Photo Effect Sudio,A. Taufiq Hidayatullah,006.66,Penyiangan 2025-2,umum,umum,umum umum,cara mudah memodifikasi foto digital menggunakan photoshop cs  photo effect sudio a taufiq hidayatullah umum umum
Cara Cerdas Mendidik & Mengoptimalkan Kecerdasan Anak,Sri Mulyanti,155.4,Penyiangan 2025-2,umum,umum,umum umum,cara cerdas mendidik  mengoptimalkan kecerdasan anak sri mulyanti umum umum
Pembesaran Nila di Kolam Air Deras,Khairuman,639.31,Penyiangan 2025-2,teknologi,umum,teknologi umum,pembesaran nila di kolam air deras khairuman teknologi umum
"Ibu, Malaikatku : Mukjizat Cinta & Kasih Sayang Ibu",Mulasih Tary,297.51,Penyiangan 2025-2,agama,umum,agama umum,ibu malaikatku  mukjizat cinta  kasih sayang ibu mulasih tary agama umum
Lollipop dan Permen Karet,Binar Socaherang,FIK,Penyiangan 2025-2,umum,umum,umum umum,lollipop dan permen karet binar socaherang umum umum
Petualangan Tiga Kurcaci,Gregoria Mayang Dwiandhesti,398.2,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,petualangan tiga kurcaci gregoria mayang dwiandhesti sosial politik umum
101 Kebiasaaan si Anak Shalih,Nini Fatih Yustisia,297.437,Penyiangan 2025-2,agama,anak,agama anak, kebiasaaan si anak shalih nini fatih yustisia agama anak
Mengetahui Problem Kesehatan Anak,Kurniawan Taufiq Kadafi,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,mengetahui problem kesehatan anak kurniawan taufiq kadafi teknologi anak
Penyakit-Penyakit yang Disebabkan Makanan & Minuman pada Anak,Adi D. Tilong,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,penyakitpenyakit yang disebabkan makanan  minuman pada anak adi d tilong teknologi anak
Anak Kampung paling fenomenal : Berguru pada 10 Tokoh Inspiratif & Inovatif,M. Mufti Mubarok,923.2,Penyiangan 2025-2,sejarah,umum,sejarah umum,anak kampung paling fenomenal  berguru pada  tokoh inspiratif  inovatif m mufti mubarok sejarah umum
Jangan Bercerai Bunda : Sebuah Catatan Hati,Asma Nadia dkk.,153.2,Penyiangan 2025-2,umum,umum,umum umum,jangan bercerai bunda  sebuah catatan hati asma nadia dkk umum umum
"Berkebun Kelapa Sawit ""Si Emas Cair"" : Panduan Praktis dari Nol",Agus Andoko,633.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,berkebun kelapa sawit si emas cair  panduan praktis dari nol agus andoko teknologi umum
Kumpulan Petualangan Abu Nawas Seri2,Bayu Aditya,FIK,Penyiangan 2025-2,umum,umum,umum umum,kumpulan petualangan abu nawas seri bayu aditya umum umum
The Great Story Muhammad SAW,Ahmad Hatta,297.91,Penyiangan 2025-2,agama,umum,agama umum,the great story muhammad saw ahmad hatta agama umum
Bertualang sambil Belajar,Dewi Fatma,FIK,Penyiangan 2025-2,umum,umum,umum umum,bertualang sambil belajar dewi fatma umum umum
"Ensiklopedia Keajaiban Dunia yang Super ""WOW""",mahadewa Adi Seta,30,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,ensiklopedia keajaiban dunia yang super wow mahadewa adi seta sosial politik umum
Jalan Pantura Jawa Harapan Di Sejuta Masalah,Hari Suko Setiono,388,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,jalan pantura jawa harapan di sejuta masalah hari suko setiono sosial politik umum
Keajaiban 9 Bulan 10 Hari : Perkembangan Janin Sehat dari Minggu ke Minggu,Bunda Eka Zuliati,618.2,Penyiangan 2025-2,teknologi,umum,teknologi umum,keajaiban  bulan  hari  perkembangan janin sehat dari minggu ke minggu bunda eka zuliati teknologi umum
Beternak Itik,Abdul Wakhid,636.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,beternak itik abdul wakhid teknologi umum
Budi Daya Kelapa Sawit di Berbagai Jenis Lahan,Sunarko,637.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya kelapa sawit di berbagai jenis lahan sunarko teknologi umum
Catatan Hati Seorang Istri,Asma Nadia,FIK,Penyiangan 2025-2,umum,umum,umum umum,catatan hati seorang istri asma nadia umum umum
12 Best Stories of Sherlocks Holmes,Sir Arthur Conan Doyle,FIK,Penyiangan 2025-2,umum,umum,umum umum, best stories of sherlocks holmes sir arthur conan doyle umum umum
Islam Yang Kuyakini,Yadi Scetz,FIK,Penyiangan 2025-2,umum,umum,umum umum,islam yang kuyakini yadi scetz umum umum
Mendung Impian,Reyhan M. Abdurrohman,FIK,Penyiangan 2025-2,umum,umum,umum umum,mendung impian reyhan m abdurrohman umum umum
Malaikat,Agung Rusmana,FIK,Penyiangan 2025-2,umum,umum,umum umum,malaikat agung rusmana umum umum
Yang Krispi yang Digemari,Elisa,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,yang krispi yang digemari elisa teknologi umum
Hipertensi Kandas Berkat Herbal,Edi Junaedi,582.12,Penyiangan 2025-2,sains,umum,sains umum,hipertensi kandas berkat herbal edi junaedi sains umum
WHY? Animals Binatang,"Lee, Kwang Woong",590,Penyiangan 2025-2,sains,umum,sains umum,why animals binatang lee kwang woong sains umum
Bebas Diabetes Tipe-2 Tanpa Obat,Lanny Lingga,616.46,Penyiangan 2025-2,teknologi,umum,teknologi umum,bebas diabetes tipe tanpa obat lanny lingga teknologi umum
Petualangan di Luar Angkasa : Buku Tulis Hapus untuk Usia 3-7 tahun,Nuri Mentari,372.623,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,petualangan di luar angkasa  buku tulis hapus untuk usia  tahun nuri mentari sosial politik umum
Daur Ulang Barang Bekas,Indarwati,745.5,Penyiangan 2025-2,umum,umum,umum umum,daur ulang barang bekas indarwati umum umum
Magnet Rezeki : Mengubah Jutaan Jadi Miliaran,Ahmad Gozali,158.1,Penyiangan 2025-2,umum,umum,umum umum,magnet rezeki  mengubah jutaan jadi miliaran ahmad gozali umum umum
Sukses Bertanam Bayam : dari nol sampai panen,Sadjali Yunaifi,635.4,Penyiangan 2025-2,teknologi,umum,teknologi umum,sukses bertanam bayam  dari nol sampai panen sadjali yunaifi teknologi umum
Bertanam Tomat dalam Pot dan Polibag,Firmansyah D.Siregar,635.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,bertanam tomat dalam pot dan polibag firmansyah dsiregar teknologi umum
Budi Daya Jamur Kuping,Muchrodji,635.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,budi daya jamur kuping muchrodji teknologi umum
"Menaklukkan Kanker Serviks dan Kanker Payudara dengan 3 Terapi Alami : Terapi Herbal, Terapi Jus & Terapi Diet",Suharmiati,616.99,Penyiangan 2025-2,teknologi,umum,teknologi umum,menaklukkan kanker serviks dan kanker payudara dengan  terapi alami  terapi herbal terapi jus  terapi diet suharmiati teknologi umum
"Menu Sehat 30 Hari untuk Hiperkolesterol, Hipertensi, dan Penyakit Jantung",Ayu Bulan Febry Kurnia Dewi,641.563,Penyiangan 2025-2,teknologi,umum,teknologi umum,menu sehat  hari untuk hiperkolesterol hipertensi dan penyakit jantung ayu bulan febry kurnia dewi teknologi umum
Jokowi Si Tukang Kayu,Gatotkoco Suroso,FIK,Penyiangan 2025-2,umum,umum,umum umum,jokowi si tukang kayu gatotkoco suroso umum umum
Islam Yang Kuyakini,Yadi Scetz,FIK,Penyiangan 2025-2,umum,umum,umum umum,islam yang kuyakini yadi scetz umum umum
Ketika Ibu Melupakanku,Dy Suharya,FIK,Penyiangan 2025-2,umum,umum,umum umum,ketika ibu melupakanku dy suharya umum umum
I Found You in Natuna,Agusta K.,FIK,Penyiangan 2025-2,umum,umum,umum umum,i found you in natuna agusta k umum umum
Rintik Tawa : Seribu Senyum untuk Setiap Tetes Air Mata,Rosa Amanda Salim,FIK,Penyiangan 2025-2,umum,umum,umum umum,rintik tawa  seribu senyum untuk setiap tetes air mata rosa amanda salim umum umum
Yang Krispi yang Digemari,Elisa,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,yang krispi yang digemari elisa teknologi umum
